Text2,Text1,Score
"Если это когда-нибудь случится, просто выключи трубку.","Это случается, просто выключи трубку.",1.0
Актёр Бен Газзара умирает в 81 году.,Актёр Газзара мертв в 81-м.,1.0
Бледная собака бежит по тропинке.,Легкая коричневая собака с радостью бежит по тропинке.,1.0
"Ребята могут быть вялыми, я должен знать.",Ребята могут быть странными.,1.0
Человек на фермерском рынке.,Человек на фермерском рынке.,1.0
"Мне даже удобнее, когда идет дождь.","Мне удобнее, когда идет дождь.",1.0
"Ты когда-нибудь смотрел фильм ""Робин Гуд, принц воров""?","Вы когда-нибудь смотрели фильм ""Робин Гуд: Принц воров""?",0.97
Не влюбляйся в девчонку... дай девчонкам влюбиться в тебя!,"Не влюбляйся в девушку, скорее дай девчонкам влюбиться в тебя.",0.97
Некоторые также называют это стволом.,Иногда его называют стволом.,0.97
"Кроме того, мужчины взрослеют позже, чем женщины.","Кроме того, позднее мужчины взрослеют, а затем женщины.",0.97
"(Если они просят денег, ты говоришь нет... Ни одному агенту не платят, пока ты не найдешь работу.","Если они просят денег, скажи им ""нет"", ни одному агенту не платят, пока вы не получите работу.",0.97
"Зеленый Фонарь, который будет восстановлен как гей-супергерой","Зеленый фонарь, который будет вновь представлен в качестве гея DC Comics Comics",0.97
Мужчина и двое мальчиков прыгают на батуте.,Мужчина и двое мальчиков прыгают на батуте.,0.97
"Две улыбающиеся женщины, держащие ребенка.",Две женщины позируют с ребенком.,0.94
В ночь выпускного я должен был пойти в кино и поехать на гонку по Карту!,Я должен был пойти в кино и поиграть в гонки на выпускном.,0.94
"""Холодная игра"" быстро набирает обороты!",Холодная игра становится популярной очень быстро.,0.94
Мы с друзьями любили ходить на маникюр.,Мы с друзьями любили делать маникюр.,0.94
Женщина измеряет лодыжку другой женщины.,Одна женщина измеряет лодыжку другой женщины.,0.94
Пол.com - отличный сайт для продажи ваших книг!,"Хороший сайт, чтобы перепродать ваши книги, это половина.com.",0.94
"Это зависит от того, действительно ли ты хочешь с ним встретиться.","Зависит от того, хочешь ли ты с ним встретиться?",0.94
Сирийская оппозиция предлагает перемирие сил Асада на период Рамадана,Сирийская оппозиция предлагает перемирие Асада в Хомсе на период Рамадана,0.94
"Автограф может также означать, что кто-то подписывает.",Автограф также означает подпись человека.,0.94
К 1850 году он принял название «Леви Стросс».,В 1850 году Штраус называл себя Леви.,0.94
"Минимальная заработная плата представляет собой наименьшую сумму денег, которую могут выплачивать работники предприятия.","Минимальная заработная плата - это самая низкая почасовая, дневная или месячная заработная плата, которую работодатели могут на законных основаниях выплачивать работникам или работникам.",0.94
Ты должен начать новую жизнь.,Ты должен начать новую жизнь.,0.94
"Денкова и Стависки — первые болгарские коньки, победившие в чемпионатах мира, что они и сделали в 2006 и 2007 годах.","Денкова и Стависки — первые болгарские фигуристы, завоевавшие медаль на чемпионате мира по фигурному катанию на коньках.",0.94
В этом году было найдено 20 тел.,В этом году в поисках тел было найдено 20 тел.,0.94
"Азиатские Саламандеры — примитивные саламандеры, которые можно найти по всей Азии.","Азиатские Саламандеры — примитивные саламандеры, найденные по всей Азии, а также в европейской России.",0.91
Я хочу услышать твою сторону.,Я бы хотел услышать твою версию истории.,0.91
Подозреваемые США Сирия применяла химическое оружие,"США считают, что правительство Сирии применяло химическое оружие",0.91
Ливин на молитве Бон Джови,"Жить на молитве.""",0.91
** Тревога о спойлере ** Это была очень забавная книга.,Эта книга была очень веселой.,0.91
"Найди агента... и никому не плати, пока тебе не заплатят.","Тебе нужно найти агента и убедиться, что тебе заплатят, прежде чем заплатить кому-то еще.",0.91
Раймонд Оуманн — бывший немецкий футболист.,Раймонд Оуманн () — немецкий футболист.,0.91
"Это отвратительно, но в то же время странно вкусно.","Это отвратительно, но странно вкусно.",0.91
"Моралес, который признал свою вину в июле, выразил «искреннее сожаление и раскаяние» за свои преступления.","В ходе слушания Моралес выразил ""искренние сожаления и раскаяние"" за его действия.",0.91
"Клейкая лента — это лента, покрытая клейкой лентой, которая используется для склеивания объектов.","Клейкая лента может быть одной из многих разновидностей поддерживающих материалов, покрытых клейкой лентой.",0.91
В детстве у нас не было животного.,У меня даже в детстве не было питомца.,0.91
"Как насчет того, чтобы не говорить и не жить!",Почему бы не перестать болтать и не получить жизнь.,0.91
"Я сам этого не вижу, но у меня есть несколько людей, которые говорят это сейчас.","Я сам этого не вижу, но у меня есть несколько людей, которые говорят это сейчас.",0.91
Ты просто стараешься забыть все хорошее и запомнить все плохое.,Пытаешься забыть все хорошее и запомнить все плохое.,0.91
"Шидлоф родился в Вене, но был вынужден покинуть Австрию, когда пришли нацисты.","Родившийся в Вене, Шидлоф бежал из Австрии в Англию после нацистского аншлюса в 1938 году.",0.91
"Это то, на что я надеюсь, мистер Тулкингхорн.","Как я и надеялся, мистер Тулькингхорн.",0.91
"@edgarblythe, так Линдон Джонсон и Джон Кеннеди были совместимы?","@Lustig Андрей, так Линдон Джонсон и Джон Кеннеди были совместимы?",0.91
Я не понимаю случайных догадок.,"Я действительно не знаю, это случайная догадка.",0.91
"Он возглавляет команду Рейнджеров, направляющуюся туда.","Он возглавляет команду рейнджеров, которую мы отправляем.",0.91
"Он сказал, что его не беспокоят опросы и что он будет продолжать делать то, что считает правильным, как во внешней, так и во внутренней политике.","Но премьер-министр сказал Би-би-си, что его не беспокоят опросы и что он будет продолжать делать то, что считает правильным.",0.91
"Будь собой, братишка, покажи им, что тебе нравится, и позаботься о них.","Будь собой, покажи им, что ты заботишься о них.",0.91
"Серьезно, завтра вечером у нас вечеринка.","Завтра вечером мы, серьезно, устраиваем вечеринку, если хочешь.",0.9
"Иногда оральный секс проводится как способ подготовиться к половому сношению, но это может быть альтернативой половому сношению.","Люди могут заниматься оральным сексом в рамках прелюдии до вступления в половую связь, во время или после полового сношения.",0.88
"Простите, но я не думаю, что вы меня поняли.","Извините, но, возможно, вы меня неправильно поняли.",0.88
"Нет ничего крутого в том, чтобы видеть смерть людей.","Нет ничего хорошего в том, чтобы видеть смерть людей.",0.88
"О, и не смейте зацикливаться на... где много людей совершают свою ошибку... слишком много дрожжей!","Кроме того, будьте уверены, что не будете применять его слишком сильно, так как многие люди совершают ошибку, добавляя слишком много дрожжей.",0.88
"Объединённые государства и другие члены нато отказались ратифицировать измененный договор до тех пор, пока Россия полностью не выйдет из плесениовой и Джорджии.","Правительство единых штатов и другие члены нато отказались ратифицировать измененный договор до тех пор, пока официальные лица в Москове не выведут войска из бывших свитских республик плесениовой и Джорджии.",0.88
